model,instrument_a,instrument_b,noise_type,replicate,confusion_increase_auc
svm,trombone,violin,studio,1,0.0164473684211
svm,trumpet,tuba,studio,1,0
svm,trumpet,viola,studio,1,0.0126149008224
svm,trumpet,violin,studio,1,0.0102564102564
svm,tuba,viola,studio,1,0.00403225806452
svm,tuba,violin,studio,1,0.00184811827957
svm,viola,violin,studio,1,0.0745392716104
cnn,bassoon,cello,white,0,0.0135327954579
cnn,bassoon,clarinet,white,0,0
cnn,bassoon,double-bass,white,0,0.11972583296
cnn,bassoon,flute,white,0,0.0214776632302
cnn,bassoon,french-horn,white,0,-0.0159141721525
cnn,bassoon,oboe,white,0,-0.0257731958763
cnn,bassoon,trombone,white,0,0.119935793091
cnn,bassoon,trumpet,white,0,-0.00515463917526
cnn,bassoon,tuba,white,0,0.000672043010753
cnn,bassoon,viola,white,0,0
cnn,bassoon,violin,white,0,0.0338181624444
cnn,cello,clarinet,white,0,0
cnn,cello,double-bass,white,0,0.139492753623
cnn,cello,flute,white,0,0.00724637681159
cnn,cello,french-horn,white,0,0.0486947791165
cnn,cello,oboe,white,0,0.0137130801688
cnn,cello,trombone,white,0,0.0990083905416
cnn,cello,trumpet,white,0,0
cnn,cello,tuba,white,0,0.00201612903226
cnn,cello,viola,white,0,0
cnn,cello,violin,white,0,0.0736293674868
cnn,clarinet,double-bass,white,0,0.0315315315315
cnn,clarinet,flute,white,0,0.000712250712251
cnn,clarinet,french-horn,white,0,0.00602409638554
cnn,clarinet,oboe,white,0,0
cnn,clarinet,trombone,white,0,0.100521574206
cnn,clarinet,trumpet,white,0,0.0294871794872
cnn,clarinet,tuba,white,0,0.00134408602151
cnn,clarinet,viola,white,0,0
cnn,clarinet,violin,white,0,0.109958796005
cnn,double-bass,flute,white,0,0.0391861761427
cnn,double-bass,french-horn,white,0,0.0926335777894
cnn,double-bass,oboe,white,0,0.0559071729958
cnn,double-bass,trombone,white,0,0.129268370201
cnn,double-bass,trumpet,white,0,0.0705128205128
cnn,double-bass,tuba,white,0,0.194892473118
cnn,double-bass,viola,white,0,0.00471698113208
cnn,double-bass,violin,white,0,0.18109762948
cnn,flute,french-horn,white,0,0.0512048192771
cnn,flute,oboe,white,0,0.144514767932
cnn,flute,trombone,white,0,0.0536156095367
cnn,flute,trumpet,white,0,0.00128205128205
cnn,flute,tuba,white,0,0.00537634408602
cnn,flute,viola,white,0,0.0546383647799
cnn,flute,violin,white,0,0.12747217253
cnn,french-horn,oboe,white,0,0.000527426160338
cnn,french-horn,trombone,white,0,0.139729972522
cnn,french-horn,trumpet,white,0,0.0025641025641
cnn,french-horn,tuba,white,0,0.0262096774194
cnn,french-horn,viola,white,0,-0.000982704402516
cnn,french-horn,violin,white,0,0.0293674698795
cnn,oboe,trombone,white,0,0.0559071729958
cnn,oboe,trumpet,white,0,0
cnn,oboe,tuba,white,0,0
cnn,oboe,viola,white,0,0.00632911392405
cnn,oboe,violin,white,0,0.148734177215
cnn,trombone,trumpet,white,0,0.226602564103
cnn,trombone,tuba,white,0,0.229670698925
cnn,trombone,viola,white,0,0.0249606918239
cnn,trombone,violin,white,0,0.0731206650347
cnn,trumpet,tuba,white,0,0
cnn,trumpet,viola,white,0,0
cnn,trumpet,violin,white,0,0.1375
cnn,tuba,viola,white,0,0
cnn,tuba,violin,white,0,0.0357862903226
cnn,viola,violin,white,0,0.158411949686
cnn,bassoon,cello,white,1,0.00937173165994
cnn,bassoon,clarinet,white,1,0.00085910652921
cnn,bassoon,double-bass,white,1,0.117148513372
cnn,bassoon,flute,white,1,0.0214776632302
cnn,bassoon,french-horn,white,1,-0.0127623897652
cnn,bassoon,oboe,white,1,-0.0257731958763
cnn,bassoon,trombone,white,1,0.121868782782
cnn,bassoon,trumpet,white,1,-0.00515463917526
cnn,bassoon,tuba,white,1,0.00134408602151
cnn,bassoon,viola,white,1,0.00085910652921
cnn,bassoon,violin,white,1,0.0366102586643
cnn,cello,clarinet,white,1,0
cnn,cello,double-bass,white,1,0.140217391304
cnn,cello,flute,white,1,0.00579710144928
cnn,cello,french-horn,white,1,0.0486947791165
cnn,cello,oboe,white,1,0.0137130801688
cnn,cello,trombone,white,1,0.0962782862954
cnn,cello,trumpet,white,1,0
cnn,cello,tuba,white,1,0.00201612903226
cnn,cello,viola,white,1,0
cnn,cello,violin,white,1,0.0775601056061
cnn,clarinet,double-bass,white,1,0.03003003003
cnn,clarinet,flute,white,1,0.000712250712251
cnn,clarinet,french-horn,white,1,0.00602409638554
cnn,clarinet,oboe,white,1,0
cnn,clarinet,trombone,white,1,0.0982693219535
cnn,clarinet,trumpet,white,1,0.0339743589744
cnn,clarinet,tuba,white,1,0.00134408602151
cnn,clarinet,viola,white,1,0
cnn,clarinet,violin,white,1,0.111783294923
cnn,double-bass,flute,white,1,0.034188034188
cnn,double-bass,french-horn,white,1,0.098657674175
cnn,double-bass,oboe,white,1,0.0495780590717
cnn,double-bass,trombone,white,1,0.129099923722
cnn,double-bass,trumpet,white,1,0.075641025641
cnn,double-bass,tuba,white,1,0.197580645161
cnn,double-bass,viola,white,1,0.00393081761006
cnn,double-bass,violin,white,1,0.184255982474
cnn,flute,french-horn,white,1,0.0489050217966
cnn,flute,oboe,white,1,0.151898734177
cnn,flute,trombone,white,1,0.0528846153846
cnn,flute,trumpet,white,1,0.00128205128205
cnn,flute,tuba,white,1,0.00403225806452
cnn,flute,viola,white,1,0.0554245283019
cnn,flute,violin,white,1,0.133948684821
cnn,french-horn,oboe,white,1,0.000527426160338
cnn,french-horn,trombone,white,1,0.135484922145
cnn,french-horn,trumpet,white,1,0.00128205128205
cnn,french-horn,tuba,white,1,0.0252016129032
cnn,french-horn,viola,white,1,0.000393081761006
cnn,french-horn,violin,white,1,0.0306224899598
cnn,oboe,trombone,white,1,0.0548523206751
cnn,oboe,trumpet,white,1,0
cnn,oboe,tuba,white,1,0
cnn,oboe,viola,white,1,0.0042194092827
cnn,oboe,violin,white,1,0.151898734177
cnn,trombone,trumpet,white,1,0.224038461538
cnn,trombone,tuba,white,1,0.226646505376
cnn,trombone,viola,white,1,0.0239779874214
cnn,trombone,violin,white,1,0.0714334285326
cnn,trumpet,tuba,white,1,0
cnn,trumpet,viola,white,1,0
cnn,trumpet,violin,white,1,0.131730769231
cnn,tuba,viola,white,1,0
cnn,tuba,violin,white,1,0.0378024193548
cnn,viola,violin,white,1,0.161163522013
cnn,bassoon,cello,audience,0,0.0203253399074
cnn,bassoon,clarinet,audience,0,0.0240549828179
cnn,bassoon,double-bass,audience,0,0.0787707306141
cnn,bassoon,flute,audience,0,0.0115979381443
cnn,bassoon,french-horn,audience,0,-0.0106819028692
cnn,bassoon,oboe,audience,0,-0.018049393188
cnn,bassoon,trombone,audience,0,0.023410652921
cnn,bassoon,trumpet,audience,0,-0.000644329896907
cnn,bassoon,tuba,audience,0,0
cnn,bassoon,viola,audience,0,0.00085910652921
cnn,bassoon,violin,audience,0,0.0693745171688
cnn,cello,clarinet,audience,0,0.00570080950516
cnn,cello,double-bass,audience,0,0.0724637681159
cnn,cello,flute,audience,0,0.0199708906231
cnn,cello,french-horn,audience,0,0.0399096385542
cnn,cello,oboe,audience,0,0.0221518987342
cnn,cello,trombone,audience,0,0.0259979659293
cnn,cello,trumpet,audience,0,0
cnn,cello,tuba,audience,0,0
cnn,cello,viola,audience,0,0.00199275362319
cnn,cello,violin,audience,0,0.0872247500281
cnn,clarinet,double-bass,audience,0,0.0108858858859
cnn,clarinet,flute,audience,0,0.00690113190113
cnn,clarinet,french-horn,audience,0,0.0193273092369
cnn,clarinet,oboe,audience,0,0.012957577831
cnn,clarinet,trombone,audience,0,0.0497569938359
cnn,clarinet,trumpet,audience,0,0.0488680988681
cnn,clarinet,tuba,audience,0,0.0206653225806
cnn,clarinet,viola,audience,0,0.000750750750751
cnn,clarinet,violin,audience,0,0.0863188770166
cnn,double-bass,flute,audience,0,0.0311826458566
cnn,double-bass,french-horn,audience,0,0.0660140562249
cnn,double-bass,oboe,audience,0,0.0134493670886
cnn,double-bass,trombone,audience,0,0.0525346427663
cnn,double-bass,trumpet,audience,0,0.0339743589744
cnn,double-bass,tuba,audience,0,0.151209677419
cnn,double-bass,viola,audience,0,0.00235849056604
cnn,double-bass,violin,audience,0,0.126565835299
cnn,flute,french-horn,audience,0,0.0148242542821
cnn,flute,oboe,audience,0,0.0216650438169
cnn,flute,trombone,audience,0,0.0160396986055
cnn,flute,trumpet,audience,0,0
cnn,flute,tuba,audience,0,0.0070564516129
cnn,flute,viola,audience,0,0.0173913481697
cnn,flute,violin,audience,0,0.0718710660571
cnn,french-horn,oboe,audience,0,0.000791139240506
cnn,french-horn,trombone,audience,0,0.0649858204749
cnn,french-horn,trumpet,audience,0,0.00803212851406
cnn,french-horn,tuba,audience,0,0.000672043010753
cnn,french-horn,viola,audience,0,0.00283681897401
cnn,french-horn,violin,audience,0,0.054718875502
cnn,oboe,trombone,audience,0,0.00764767932489
cnn,oboe,trumpet,audience,0,0.00131856540084
cnn,oboe,tuba,audience,0,0
cnn,oboe,viola,audience,0,0.0139767932489
cnn,oboe,violin,audience,0,0.163238396624
cnn,trombone,trumpet,audience,0,0.0539811066127
cnn,trombone,tuba,audience,0,0.0930779569892
cnn,trombone,viola,audience,0,0.00293432086506
cnn,trombone,violin,audience,0,0.0491338569291
cnn,trumpet,tuba,audience,0,0.00268817204301
cnn,trumpet,viola,audience,0,0
cnn,trumpet,violin,audience,0,0.0958407871199
cnn,tuba,viola,audience,0,0
cnn,tuba,violin,audience,0,0.0408266129032
